INFO  | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:95) - clientType is: CL   clientNumber is: 1234 accountNumber is:2 subAccountNumber is: 1
DEBUG | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:115) - exchangeCode is: SGX  productGroup is: FU symbol is:NK     expirationDate is: Fri Sep 10 00:00:00 EST 2010
DEBUG | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:121) - qtyLong is: 1 qtyShort is: 0
INFO  | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:129) - Finish parse line 28
INFO  | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:74) - Start parse line: 29
INFO  | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:95) - clientType is: CL   clientNumber is: 1234 accountNumber is:2 subAccountNumber is: 1
DEBUG | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:115) - exchangeCode is: SGX  productGroup is: FU symbol is:NK     expirationDate is: Fri Sep 10 00:00:00 EST 2010
DEBUG | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:121) - qtyLong is: 1 qtyShort is: 0
INFO  | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:129) - Finish parse line 29
INFO  | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:74) - Start parse line: 30
INFO  | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:95) - clientType is: CL   clientNumber is: 1234 accountNumber is:2 subAccountNumber is: 1
DEBUG | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:115) - exchangeCode is: SGX  productGroup is: FU symbol is:NK     expirationDate is: Fri Sep 10 00:00:00 EST 2010
DEBUG | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:121) - qtyLong is: 1 qtyShort is: 0
INFO  | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:129) - Finish parse line 30
INFO  | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:74) - Start parse line: 31
INFO  | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:95) - clientType is: CL   clientNumber is: 1234 accountNumber is:2 subAccountNumber is: 1
DEBUG | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:115) - exchangeCode is: SGX  productGroup is: FU symbol is:NK     expirationDate is: Fri Sep 10 00:00:00 EST 2010
DEBUG | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:121) - qtyLong is: 1 qtyShort is: 0
INFO  | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:129) - Finish parse line 31
INFO  | 2019-03-06 14:07:29 | [main] abnamro.FutureFileParser (FutureFileParser.java:74) - Start parse line: 32
